Date,S&P 500 Pure Value (TR)
2013-09-27,7358.98
2013-09-30,7312.06
2013-10-01,7392.24
2013-10-02,7402.01
2013-10-03,7350.07
2013-10-04,7430.08
2013-10-07,7348.19
2013-10-08,7255.94
2013-10-09,7278.67
2013-10-10,7472.7
2013-10-11,7535.54
2013-10-14,7556.3
2013-10-15,7510.99
2013-10-16,7636.58
2013-10-17,7695.39
2013-10-18,7726.69
2013-10-21,7720.48
2013-10-22,7775.58
2013-10-23,7724.15
2013-10-24,7728.98
2013-10-25,7772.18
2013-10-28,7774.67
2013-10-29,7835.08
2013-10-30,7784.32
2013-10-31,7771.4
2013-11-01,7796.31
2013-11-04,7863.84
2013-11-05,7846.8
2013-11-06,7847.62
2013-11-07,7719.91
2013-11-08,7875.02
2013-11-11,7889.92
2013-11-12,7851.82
2013-11-13,7937.32
2013-11-14,7996.54
2013-11-15,8019.91
2013-11-18,7992.23
2013-11-19,7981.5
2013-11-20,7965.6
2013-11-21,8060.91
2013-11-22,8115.73
2013-11-25,8111.26
2013-11-26,8114.15
2013-11-27,8139.06
2013-11-29,8122
2013-12-02,8129.35
2013-12-03,8085.53
2013-12-04,8067.64
2013-12-05,7995.93
2013-12-06,8089.15
2013-12-09,8103.37
2013-12-10,8104.51
2013-12-11,7994.27
2013-12-12,7972.61
2013-12-13,7979.49
2013-12-16,8033.66
2013-12-17,8017.81
2013-12-18,8123.43
2013-12-19,8125.32
2013-12-20,8168.09
2013-12-23,8217.3
2013-12-24,8255
2013-12-26,8279.24
2013-12-27,8294.89
2013-12-30,8288.22
2013-12-31,8332.53
2014-01-02,8235.98
2014-01-03,8233.61
2014-01-06,8214.78
2014-01-07,8249.45
2014-01-08,8245.96
2014-01-09,8277.7
2014-01-10,8286.63
2014-01-13,8161.7
2014-01-14,8242.45
2014-01-15,8253.62
2014-01-16,8236.93
2014-01-17,8219.38
2014-01-21,8252.36
2014-01-22,8264.36
2014-01-23,8172.65
2014-01-24,7975.26
2014-01-27,7958
2014-01-28,8028.43
2014-01-29,7972.13
2014-01-30,8051.77
2014-01-31,8009.94
2014-02-03,7831.99
2014-02-04,7865.93
2014-02-05,7837.36
2014-02-06,7942.44
2014-02-07,8012.27
2014-02-10,7995
2014-02-11,8094.35
2014-02-12,8078.2
2014-02-13,8133.38
2014-02-14,8194.1
2014-02-18,8217.53
2014-02-19,8188
2014-02-20,8241.55
2014-02-21,8238.5
2014-02-24,8304.3
2014-02-25,8291.89
2014-02-26,8311.08
2014-02-27,8320.04
