Date,Dow Jones U.S. Thematic Long Size Total Return Index
2013-04-25,1272.32
2013-04-26,1269.24
2013-04-29,1278.42
2013-04-30,1284.93
2013-05-01,1261.84
2013-05-02,1274.48
2013-05-03,1291.03
2013-05-06,1301.85
2013-05-07,1313.62
2013-05-08,1322.5
2013-05-09,1317.43
2013-05-10,1329.07
2013-05-13,1324.37
2013-05-14,1338.91
2013-05-15,1342.94
2013-05-16,1337.15
2013-05-17,1353.9
2013-05-20,1359
2013-05-21,1361.85
2013-05-22,1339.44
2013-05-23,1341.47
2013-05-24,1335.99
2013-05-28,1349.33
2013-05-29,1339.3
2013-05-30,1348.25
2013-05-31,1335.35
2013-06-03,1334.07
2013-06-04,1325.11
2013-06-05,1306.67
2013-06-06,1319.28
2013-06-07,1333.81
2013-06-10,1335.38
2013-06-11,1319.03
2013-06-12,1310.08
2013-06-13,1334.18
2013-06-14,1325.37
2013-06-17,1331.4
2013-06-18,1343.88
2013-06-19,1325.7
2013-06-20,1292.02
2013-06-21,1291.25
2013-06-24,1274.99
2013-06-25,1290.66
2013-06-26,1299.76
2013-06-27,1320.35
2013-06-28,1318
2013-07-01,1333.03
2013-07-02,1331.19
2013-07-03,1330.8
2013-07-05,1348.07
2013-07-08,1352.22
2013-07-09,1365.92
2013-07-10,1369.76
2013-07-11,1387.98
2013-07-12,1392.05
2013-07-15,1396.71
2013-07-16,1390.92
2013-07-17,1397.41
2013-07-18,1411.55
2013-07-19,1411.11
2013-07-22,1414.47
2013-07-23,1414.24
2013-07-24,1402.3
2013-07-25,1408.5
2013-07-26,1401.44
2013-07-29,1395.88
2013-07-30,1402.06
2013-07-31,1405.21
2013-08-01,1427.57
2013-08-02,1425.07
2013-08-05,1427.68
2013-08-06,1411.58
2013-08-07,1403.56
2013-08-08,1414.95
2013-08-09,1418.18
2013-08-12,1422.99
2013-08-13,1421.77
2013-08-14,1415.36
2013-08-15,1390.81
2013-08-16,1384.06
2013-08-19,1370.94
2013-08-20,1387.86
2013-08-21,1380
2013-08-22,1395.77
2013-08-23,1401.65
2013-08-26,1401.74
2013-08-27,1373.81
2013-08-28,1376.44
2013-08-29,1383.56
2013-08-30,1366.4
2013-09-03,1368.75
2013-09-04,1381.99
2013-09-05,1389.37
2013-09-06,1393.66
2013-09-09,1413.82
2013-09-10,1424.93
2013-09-11,1427.61
2013-09-12,1419.65
2013-09-13,1424.16
2013-09-16,1430.09
2013-09-17,1441.16
2013-09-18,1456.22
2013-09-19,1456.03
2013-09-20,1445.45
2013-09-23,1441.33
2013-09-24,1444.03
2013-09-25,1446.05
2013-09-26,1452.24
2013-09-27,1446.56
2013-09-30,1443.78
2013-10-01,1463.48
2013-10-02,1463.43
2013-10-03,1450.94
2013-10-04,1460.63
2013-10-07,1446.24
2013-10-08,1425.46
2013-10-09,1416.26
2013-10-10,1446.66
2013-10-11,1460.53
2013-10-14,1467.73
2013-10-15,1453.34
2013-10-16,1468.51
2013-10-17,1481.52
2013-10-18,1493.96
2013-10-21,1493.15
2013-10-22,1500.82
2013-10-23,1493.5
2013-10-24,1502.41
2013-10-25,1506.96
2013-10-28,1507.15
2013-10-29,1512.58
2013-10-30,1499.53
2013-10-31,1495.2
2013-11-01,1493.37
2013-11-04,1510.45
2013-11-05,1503.51
2013-11-06,1499.95
2013-11-07,1474.12
2013-11-08,1498.3
2013-11-11,1504.02
2013-11-12,1500.77
2013-11-13,1516.9
2013-11-14,1521.68
2013-11-15,1526.79
2013-11-18,1515.48
2013-11-19,1506.76
2013-11-20,1503.14
2013-11-21,1520.32
2013-11-22,1524.65
2013-11-25,1522.14
2013-11-26,1526.71
2013-11-27,1532.37
2013-11-29,1530.18
2013-12-02,1523.68
2013-12-03,1517.97
2013-12-04,1517.91
2013-12-05,1516.46
2013-12-06,1527.67
2013-12-09,1529.73
2013-12-10,1521.72
2013-12-11,1497.86
2013-12-12,1500.67
2013-12-13,1506.14
2013-12-16,1517.05
2013-12-17,1519.2
2013-12-18,1535.44
2013-12-19,1525.78
2013-12-20,1541.92
2013-12-23,1553.39
2013-12-24,1561.09
2013-12-26,1562.13
2013-12-27,1564.5
2013-12-30,1566.3
2013-12-31,1570.74
2014-01-02,1557.71
2014-01-03,1564.46
2014-01-06,1554.82
2014-01-07,1568.06
2014-01-08,1569.44
2014-01-09,1567.69
2014-01-10,1579.26
2014-01-13,1562.82
2014-01-14,1582.65
2014-01-15,1593.36
2014-01-16,1594.89
2014-01-17,1587.59
2014-01-21,1594.07
2014-01-22,1601.11
2014-01-23,1592.96
2014-01-24,1555.24
2014-01-27,1540.28
2014-01-28,1554.66
2014-01-29,1536.76
2014-01-30,1557.18
2014-01-31,1554.11
2014-02-03,1505.52
2014-02-04,1519.46
2014-02-05,1515.45
2014-02-06,1535.75
2014-02-07,1545.83
2014-02-10,1547.62
2014-02-11,1560.93
2014-02-12,1564.24
2014-02-13,1585.19
2014-02-14,1592.68
2014-02-18,1603.07
2014-02-19,1592.75
