Date,S&P 500 Pure Growth (TR)
2013-11-12,7487.56
2013-11-13,7561.51
2013-11-14,7628.17
2013-11-15,7662.41
2013-11-18,7605.14
2013-11-19,7570.5
2013-11-20,7551.82
2013-11-21,7637.79
2013-11-22,7687.27
2013-11-25,7687.9
2013-11-26,7718.18
2013-11-27,7746.61
2013-11-29,7746.04
2013-12-02,7722.23
2013-12-03,7659.77
2013-12-04,7651.09
2013-12-05,7640.62
2013-12-06,7726.94
2013-12-09,7733.5
2013-12-10,7737.43
2013-12-11,7634.34
2013-12-12,7633.23
2013-12-13,7642.43
2013-12-16,7704.06
2013-12-17,7691.85
2013-12-18,7827.73
2013-12-19,7816.48
2013-12-20,7870.58
2013-12-23,7903.31
2013-12-24,7922.91
2013-12-26,7953.78
2013-12-27,7918.76
2013-12-30,7924.55
2013-12-31,7962.58
2014-01-02,7900.67
2014-01-03,7908.07
2014-01-06,7875.89
2014-01-07,7941.31
2014-01-08,8004.07
2014-01-09,8007.03
2014-01-10,8055.13
2014-01-13,7906.65
2014-01-14,8048.5
2014-01-15,8063.55
2014-01-16,8058.04
2014-01-17,8043.31
2014-01-21,8098.2
2014-01-22,8131.87
2014-01-23,8043.56
2014-01-24,7835.13
2014-01-27,7771.95
2014-01-28,7859.98
2014-01-29,7765.64
2014-01-30,7940.25
2014-01-31,7894.93
2014-02-03,7671.88
2014-02-04,7799.21
2014-02-05,7762.18
2014-02-06,7883.21
2014-02-07,8031.94
2014-02-10,8045.52
2014-02-11,8140.81
2014-02-12,8157.94
2014-02-13,8245.76
2014-02-14,8261.62
2014-02-18,8325.36
2014-02-19,8267.38
2014-02-20,8350.34
2014-02-21,8359.41
2014-02-24,8446.56
2014-02-25,8461.3
2014-02-26,8455.21
2014-02-27,8497.38
2014-02-28,8496.14
2014-03-03,8439.48
2014-03-04,8611.52
2014-03-05,8613.36
2014-03-06,8615.25
2014-03-07,8592.83
2014-03-10,8588.52
2014-03-11,8525.16
2014-03-12,8537.37
2014-03-13,8397.23
2014-03-14,8387.68
2014-03-17,8454.71
2014-03-18,8534.28
2014-03-19,8502.47
2014-03-20,8546.21
2014-03-21,8455.68
2014-03-24,8340.87
2014-03-25,8347.14
2014-03-26,8243.54
2014-03-27,8203.08
2014-03-28,8232.76
2014-03-31,8310.48
2014-04-01,8445.77
2014-04-02,8473.74
2014-04-03,8395.57
2014-04-04,8202.72
2014-04-07,8061.15
2014-04-08,8116.41
2014-04-09,8272.21
2014-04-10,7994.32
2014-04-11,7880.66
2014-04-14,7946.86
2014-04-15,8007.19
2014-04-16,8139.81
2014-04-17,8156.59
2014-04-21,8204.46
2014-04-22,8310.52
2014-04-23,8269.44
2014-04-24,8242.53
2014-04-25,8081.99
2014-04-28,8025.13
2014-04-29,8109.09
2014-04-30,8161.03
2014-05-01,8178.99
2014-05-02,8191.81
2014-05-05,8240.95
2014-05-06,8139.11
2014-05-07,8139.12
2014-05-08,8116.34
2014-05-09,8157.7
2014-05-12,8313.64
2014-05-13,8303.04
2014-05-14,8232.18
2014-05-15,8134.82
2014-05-16,8163.95
2014-05-19,8234.16
2014-05-20,8160.57
2014-05-21,8253.36
2014-05-22,8306.64
2014-05-23,8371.85
2014-05-27,8468.69
2014-05-28,8459.5
2014-05-29,8504.52
2014-05-30,8504.5
2014-06-02,8543.2
2014-06-03,8545.32
2014-06-04,8582.09
2014-06-05,8627.73
2014-06-06,8700.54
2014-06-09,8683.36
2014-06-10,8671.87
2014-06-11,8666.73
2014-06-12,8597.52
2014-06-13,8625.08
