Date,S&P 500 Low Rate-Sensitivity Index (USD) TR
2013-05-01,6936.86
2013-05-02,6996.29
2013-05-03,7071.83
2013-05-06,7072.13
2013-05-07,7115.28
2013-05-08,7140.28
2013-05-09,7109.38
2013-05-10,7155.76
2013-05-13,7145.96
2013-05-14,7233.75
2013-05-15,7283.14
2013-05-16,7235.18
2013-05-17,7310.66
2013-05-20,7299.74
2013-05-21,7311.86
2013-05-22,7230.65
2013-05-23,7216.58
2013-05-24,7199.09
2013-05-28,7233.04
2013-05-29,7165.59
2013-05-30,7195.46
2013-05-31,7098.83
2013-06-03,7121.98
2013-06-04,7083.35
2013-06-05,6990.76
2013-06-06,7057.97
2013-06-07,7148.09
2013-06-10,7145.75
2013-06-11,7076.7
2013-06-12,7017.67
2013-06-13,7133.63
2013-06-14,7104.4
2013-06-17,7154.05
2013-06-18,7207.18
2013-06-19,7097.93
2013-06-20,6916.91
2013-06-21,6945.99
2013-06-24,6874
2013-06-25,6944.46
2013-06-26,7011.4
2013-06-27,7071.51
2013-06-28,7053.83
2013-07-01,7094.6
2013-07-02,7079.92
2013-07-03,7075.61
2013-07-05,7142.2
2013-07-08,7185.11
2013-07-09,7240.24
2013-07-10,7257.63
2013-07-11,7359.09
2013-07-12,7378.62
2013-07-15,7391.15
2013-07-16,7355.54
2013-07-17,7370.65
2013-07-18,7419.03
2013-07-19,7438.34
2013-07-22,7451.83
2013-07-23,7438.17
2013-07-24,7384.12
2013-07-25,7418.66
2013-07-26,7426.96
2013-07-29,7402.52
2013-07-30,7414.39
2013-07-31,7421.08
2013-08-01,7523.18
2013-08-02,7533.32
2013-08-05,7521.35
2013-08-06,7479.37
2013-08-07,7449.13
2013-08-08,7487.48
2013-08-09,7474.96
2013-08-12,7461.88
2013-08-13,7467.05
2013-08-14,7426.93
2013-08-15,7318.45
2013-08-16,7286.06
2013-08-19,7240.45
2013-08-20,7295.45
2013-08-21,7245.79
2013-08-22,7312.4
2013-08-23,7337.61
2013-08-26,7308.05
2013-08-27,7198.87
2013-08-28,7205.24
2013-08-29,7225.53
2013-08-30,7200.43
2013-09-03,7219.22
2013-09-04,7277.6
2013-09-05,7284.56
2013-09-06,7291.41
2013-09-09,7370.39
2013-09-10,7422.94
2013-09-11,7448.93
2013-09-12,7420.5
2013-09-13,7446.69
2013-09-16,7499.38
2013-09-17,7534.52
2013-09-18,7641.66
2013-09-19,7626.85
2013-09-20,7558.7
2013-09-23,7530.77
2013-09-24,7526.39
2013-09-25,7500.02
2013-09-26,7525.57
2013-09-27,7493.61
2013-09-30,7461.45
2013-10-01,7520.5
2013-10-02,7515.86
2013-10-03,7443.3
2013-10-04,7498.09
2013-10-07,7434.02
2013-10-08,7351.37
2013-10-09,7356.46
2013-10-10,7512.53
2013-10-11,7559.72
2013-10-14,7578.14
2013-10-15,7513.08
2013-10-16,7615.89
2013-10-17,7689.9
2013-10-18,7722.39
2013-10-21,7718.27
2013-10-22,7780.78
2013-10-23,7747.09
2013-10-24,7763.36
2013-10-25,7808.27
2013-10-28,7813.87
2013-10-29,7856.5
2013-10-30,7806.26
2013-10-31,7783.54
2013-11-01,7804.62
2013-11-04,7842.04
2013-11-05,7814.87
2013-11-06,7846.11
2013-11-07,7736.2
2013-11-08,7815.34
2013-11-11,7824.87
2013-11-12,7806.26
2013-11-13,7873.77
2013-11-14,7922.52
2013-11-15,7956.34
2013-11-18,7919.06
2013-11-19,7892.65
2013-11-20,7858.2
2013-11-21,7916.25
2013-11-22,7951.55
2013-11-25,7937.19
2013-11-26,7935.06
2013-11-27,7952.54
2013-11-29,7936.93
2013-12-02,7916.59
2013-12-03,7894.12
2013-12-04,7884.28
2013-12-05,7850.74
2013-12-06,7946.02
2013-12-09,7952.49
2013-12-10,7924.97
2013-12-11,7831.69
2013-12-12,7809.15
2013-12-13,7814.05
2013-12-16,7860.51
2013-12-17,7845.32
2013-12-18,7969.07
2013-12-19,7954.78
2013-12-20,8006.3
2013-12-23,8039.91
2013-12-24,8068.66
2013-12-26,8094.39
2013-12-27,8095.8
2013-12-30,8110.15
2013-12-31,8129.15
2014-01-02,8049.82
2014-01-03,8052.35
2014-01-06,8021.21
2014-01-07,8072.91
2014-01-08,8077.36
2014-01-09,8093.83
2014-01-10,8135.47
2014-01-13,8031.72
2014-01-14,8109.72
2014-01-15,8128.94
2014-01-16,8125.08
2014-01-17,8098
2014-01-21,8124.57
2014-01-22,8138.42
2014-01-23,8065.72
2014-01-24,7900.69
2014-01-27,7871.88
2014-01-28,7939.88
2014-01-29,7862.98
2014-01-30,7957.45
2014-01-31,7916.58
2014-02-03,7735.32
2014-02-04,7794.72
2014-02-05,7777.74
2014-02-06,7883.7
2014-02-07,7978.82
2014-02-10,8003.73
2014-02-11,8082.9
2014-02-12,8084.25
2014-02-13,8141.13
2014-02-14,8178.86
2014-02-18,8206.25
2014-02-19,8171.26
2014-02-20,8229.72
2014-02-21,8233.22
2014-02-24,8275.8
2014-02-25,8274.97
2014-02-26,8284.89
2014-02-27,8316.86
2014-02-28,8345.59
