Date,S&P 500 High Rate-Sensitivity 100 Index (USD) TR
2013-05-01,5749.65
2013-05-02,5824.67
2013-05-03,5939.95
2013-05-06,5992.2
2013-05-07,6020.72
2013-05-08,6077.61
2013-05-09,6077.8
2013-05-10,6121.52
2013-05-13,6099.8
2013-05-14,6169.73
2013-05-15,6199.18
2013-05-16,6150.77
2013-05-17,6255.67
2013-05-20,6291.65
2013-05-21,6292.67
2013-05-22,6201.21
2013-05-23,6187.58
2013-05-24,6172.78
2013-05-28,6244.6
2013-05-29,6224.07
2013-05-30,6269.99
2013-05-31,6172
2013-06-03,6185.13
2013-06-04,6146.27
2013-06-05,6049.06
2013-06-06,6121.48
2013-06-07,6206.64
2013-06-10,6213.03
2013-06-11,6103.09
2013-06-12,6032.21
2013-06-13,6175.89
2013-06-14,6101.47
2013-06-17,6172.27
2013-06-18,6229.98
2013-06-19,6148.56
2013-06-20,5974.11
2013-06-21,5971.35
2013-06-24,5858.95
2013-06-25,5957.29
2013-06-26,5999.74
2013-06-27,6063.4
2013-06-28,6046.39
2013-07-01,6097.41
2013-07-02,6096.26
2013-07-03,6080.5
2013-07-05,6171.91
2013-07-08,6187.3
2013-07-09,6225.82
2013-07-10,6219.74
2013-07-11,6317.47
2013-07-12,6338.23
2013-07-15,6352.1
2013-07-16,6326.17
2013-07-17,6349.28
2013-07-18,6419.92
2013-07-19,6411.89
2013-07-22,6417.46
2013-07-23,6390.98
2013-07-24,6336.67
2013-07-25,6363.78
2013-07-26,6347.53
2013-07-29,6314.63
2013-07-30,6342.24
2013-07-31,6352.58
2013-08-01,6481.13
2013-08-02,6479.56
2013-08-05,6467.42
2013-08-06,6402.7
2013-08-07,6357.97
2013-08-08,6419.17
2013-08-09,6431.42
2013-08-12,6429.91
2013-08-13,6446.03
2013-08-14,6421.99
2013-08-15,6317.93
2013-08-16,6296.23
2013-08-19,6211.95
2013-08-20,6279.66
2013-08-21,6235.5
2013-08-22,6337.48
2013-08-23,6360.86
2013-08-26,6342.16
2013-08-27,6186.64
2013-08-28,6220.71
2013-08-29,6232.96
2013-08-30,6195.49
2013-09-03,6254.3
2013-09-04,6344.83
2013-09-05,6389.39
2013-09-06,6399.89
2013-09-09,6491.47
2013-09-10,6568.64
2013-09-11,6591.33
2013-09-12,6535.67
2013-09-13,6549.19
2013-09-16,6588.51
2013-09-17,6623.23
2013-09-18,6682.71
2013-09-19,6664.65
2013-09-20,6603.1
2013-09-23,6546.84
2013-09-24,6567.61
2013-09-25,6592.14
2013-09-26,6594.74
2013-09-27,6554.16
2013-09-30,6524.56
2013-10-01,6594.86
2013-10-02,6610.37
2013-10-03,6565.77
2013-10-04,6644.5
2013-10-07,6570.23
2013-10-08,6468.64
2013-10-09,6466.4
2013-10-10,6622.18
2013-10-11,6665.61
2013-10-14,6702.23
2013-10-15,6661.72
2013-10-16,6773.13
2013-10-17,6828.5
2013-10-18,6899.5
2013-10-21,6877.61
2013-10-22,6914.6
2013-10-23,6840.12
2013-10-24,6864.11
2013-10-25,6895.78
2013-10-28,6892.43
2013-10-29,6938.54
2013-10-30,6893.22
2013-10-31,6860.41
2013-11-01,6878.82
2013-11-04,6938.43
2013-11-05,6889.5
2013-11-06,6872.48
2013-11-07,6753.27
2013-11-08,6896.08
2013-11-11,6910.87
2013-11-12,6880.81
2013-11-13,6955.32
2013-11-14,6981.44
2013-11-15,7008.49
2013-11-18,6944.21
2013-11-19,6910.08
2013-11-20,6894.27
2013-11-21,6979.53
2013-11-22,7001.03
2013-11-25,6971.94
2013-11-26,6985.31
2013-11-27,7008.1
2013-11-29,6997.66
2013-12-02,6992.9
2013-12-03,6969.73
2013-12-04,6978.06
2013-12-05,6950
2013-12-06,7005.31
2013-12-09,7025.15
2013-12-10,7016.33
2013-12-11,6904.62
2013-12-12,6892.97
2013-12-13,6921.18
2013-12-16,7006.65
2013-12-17,7009.18
2013-12-18,7077.11
2013-12-19,7082.81
2013-12-20,7129.03
2013-12-23,7163.25
2013-12-24,7201.99
2013-12-26,7223.09
2013-12-27,7233.72
2013-12-30,7230.33
2013-12-31,7271.5
2014-01-02,7206.13
2014-01-03,7208.58
2014-01-06,7195.69
2014-01-07,7240.56
2014-01-08,7275.08
2014-01-09,7259.67
2014-01-10,7297.08
2014-01-13,7181.79
2014-01-14,7296.63
2014-01-15,7327.32
2014-01-16,7320.29
2014-01-17,7312.28
2014-01-21,7336.4
2014-01-22,7369.56
2014-01-23,7273.35
2014-01-24,7081.3
2014-01-27,7050.79
2014-01-28,7105.46
2014-01-29,7055.34
2014-01-30,7125.39
2014-01-31,7072.99
2014-02-03,6893.07
2014-02-04,6975.58
2014-02-05,6938.55
2014-02-06,7047.06
2014-02-07,7119.83
2014-02-10,7118.79
2014-02-11,7205.34
2014-02-12,7217.38
2014-02-13,7268.77
2014-02-14,7301.39
2014-02-18,7341.14
2014-02-19,7333.65
2014-02-20,7384.78
2014-02-21,7368.18
2014-02-24,7432.29
2014-02-25,7392.31
2014-02-26,7391.97
2014-02-27,7422.64
2014-02-28,7434.89
2014-03-03,7381.58
2014-03-04,7492.56
2014-03-05,7494.02
2014-03-06,7538.98
2014-03-07,7522.74
2014-03-10,7486.52
2014-03-11,7416.2
2014-03-12,7406.11
2014-03-13,7287.94
2014-03-14,7296.34
2014-03-17,7352.28
2014-03-18,7442.98
2014-03-19,7422.03
2014-03-20,7462.89
2014-03-21,7492.43
2014-03-24,7428.81
2014-03-25,7467.06
2014-03-26,7376.07
2014-03-27,7377.43
2014-03-28,7443.54
2014-03-31,7514.51
2014-04-01,7591.4
2014-04-02,7631.15
2014-04-03,7621.24
2014-04-04,7528.87
2014-04-07,7389.75
2014-04-08,7455.01
2014-04-09,7525.01
2014-04-10,7364.28
2014-04-11,7272.01
