Date,NLSN,IT,TER,NUE,PEP,CB,CPRT,TMUS,EXPE,XYL,BDX,AZO,CMCSA,MS,OKE,CPB,RSG,EXPD,CTAS,EBAY,ECL,F,D,PGR,PHM,EFX,FLT,LNT,MCK,MRO,AMP,PCAR,CI,VLO,CCI,VTRS,PBCT,T,TWTR,TROW,FFIV,CMI,BXP,LDOS,DAL
2020-02-11,21.43000030517578,152.0800018310547,72.4000015258789,48.34000015258789,146.0800018310547,164.13999938964844,102.30999755859375,94.48999786376953,109.19999694824219,87.23999786376953,256.4100036621094,1051.219970703125,44.790000915527344,55.779998779296875,75.94000244140625,48.72999954223633,98.05000305175781,73.16000366210938,293.489990234375,36.439998626708984,204.6199951171875,8.100000381469727,85.22000122070312,83.66000366210938,46.97999954223633,153.30999755859375,315.75,58.38999938964844,164.64999389648438,11.569999694824219,177.6300048828125,75.66000366210938,215.17999267578125,84.23999786376953,161.02999877929688,22.350000381469727,16.15999984741211,38.16999816894531,35.650001525878906,138.61000061035156,126.08999633789062,164.3000030517578,144.22000122070312,112.13999938964844,58.65999984741211
2020-02-12,21.799999237060547,151.5500030517578,73.0999984741211,48.369998931884766,146.0800018310547,163.88999938964844,102.48999786376953,95.66999816894531,110.97000122070312,89.12999725341797,252.22999572753906,1063.5699462890625,46.02000045776367,56.18000030517578,76.41000366210938,48.18000030517578,98.47000122070312,73.41999816894531,297.1199951171875,37.150001525878906,206.82000732421875,8.239999771118164,85.77999877929688,83.23999786376953,46.70000076293945,154.52000427246094,316.3800048828125,58.65999984741211,168.02000427246094,11.609999656677246,178.63999938964844,76.55999755859375,222.55999755859375,85.04000091552734,163.2100067138672,22.15999984741211,16.239999771118164,38.040000915527344,36.790000915527344,138.47999572753906,126.70999908447266,168.0399932861328,145.02000427246094,111.0,59.470001220703125
2020-02-13,21.600000381469727,150.8800048828125,72.58000183105469,47.95000076293945,146.47000122070312,164.8300018310547,103.3499984741211,95.13999938964844,110.58999633789062,87.05000305175781,254.35000610351562,1066.550048828125,46.06999969482422,55.93000030517578,76.22000122070312,48.36000061035156,99.01000213623047,74.18000030517578,298.1000061035156,37.189998626708984,207.05999755859375,8.25,86.23999786376953,83.86000061035156,46.689998626708984,162.25999450683594,317.5799865722656,59.380001068115234,167.91000366210938,11.109999656677246,178.39999389648438,74.83000183105469,221.88999938964844,83.69999694824219,163.9199981689453,21.639999389648438,16.31999969482422,38.310001373291016,37.15999984741211,136.4199981689453,128.22000122070312,166.10000610351562,145.5800018310547,113.0999984741211,59.130001068115234
2020-02-14,21.389999389648438,152.41000366210938,70.16000366210938,47.150001525878906,146.99000549316406,164.55999755859375,103.25,96.4800033569336,122.80000305175781,88.13999938964844,260.2200012207031,1053.2099609375,46.09000015258789,55.84000015258789,76.9800033569336,48.63999938964844,100.43000030517578,73.38999938964844,300.8800048828125,38.13999938964844,207.30999755859375,8.100000381469727,87.45999908447266,83.7699966430664,46.689998626708984,162.9600067138672,318.42999267578125,59.7400016784668,168.02999877929688,10.640000343322754,178.82000732421875,74.73999786376953,220.33999633789062,82.63999938964844,165.97000122070312,21.899999618530273,16.25,38.25,36.90999984741211,137.38999938964844,127.51000213623047,166.77999877929688,147.22999572753906,112.80999755859375,58.900001525878906
2020-02-18,21.719999313354492,152.66000366210938,67.38999938964844,47.38999938964844,145.60000610351562,163.5,102.41999816894531,99.87999725341797,121.0999984741211,88.05000305175781,256.0,1073.8499755859375,46.150001525878906,55.52000045776367,76.94000244140625,48.20000076293945,100.2699966430664,74.43000030517578,302.510009765625,37.869998931884766,207.67999267578125,8.0600004196167,88.9800033569336,83.4000015258789,46.650001525878906,159.6300048828125,320.57000732421875,60.16999816894531,167.6300048828125,10.300000190734863,177.2899932861328,74.30000305175781,221.9499969482422,82.5199966430664,166.2100067138672,21.280000686645508,16.030000686645508,38.2599983215332,38.060001373291016,137.77999877929688,127.69999694824219,166.05999755859375,147.50999450683594,123.22000122070312,58.720001220703125
2020-02-19,21.829999923706055,153.6999969482422,67.9800033569336,47.709999084472656,145.52999877929688,164.2100067138672,104.5,100.48999786376953,121.87999725341797,87.95999908447266,256.07000732421875,1066.7900390625,45.970001220703125,56.310001373291016,76.75,47.790000915527344,100.04000091552734,76.18000030517578,304.260009765625,37.529998779296875,210.30999755859375,8.0,87.83999633789062,81.41999816894531,46.54999923706055,161.8800048828125,321.1099853515625,59.470001220703125,168.00999450683594,10.470000267028809,179.0399932861328,74.2300033569336,221.44000244140625,83.2300033569336,165.60000610351562,20.899999618530273,16.100000381469727,38.439998626708984,38.77000045776367,139.05999755859375,129.75,167.83999633789062,144.89999389648438,120.33000183105469,58.5099983215332
2020-02-20,22.25,154.9499969482422,67.88999938964844,47.849998474121094,145.16000366210938,163.14999389648438,97.30000305175781,99.5,121.66000366210938,88.66000366210938,253.4600067138672,1082.52001953125,46.02000045776367,53.75,77.5199966430664,47.7400016784668,99.12000274658203,75.47000122070312,297.70001220703125,37.689998626708984,206.30999755859375,8.029999732971191,89.25,80.83999633789062,46.66999816894531,161.42999267578125,317.3900146484375,59.56999969482422,170.77999877929688,10.25,179.72000122070312,75.54000091552734,220.41000366210938,84.16999816894531,166.99000549316406,20.93000030517578,16.350000381469727,38.61000061035156,39.04999923706055,137.74000549316406,132.85000610351562,167.1199951171875,146.9199981689453,119.2699966430664,58.380001068115234
2020-02-21,21.850000381469727,155.4600067138672,66.0,48.56999969482422,145.85000610351562,163.75,95.25,98.56999969482422,120.12000274658203,88.5199966430664,257.3500061035156,1068.030029296875,45.81999969482422,52.41999816894531,77.05999755859375,47.959999084472656,99.43000030517578,75.41000366210938,293.3599853515625,38.20000076293945,207.5,7.889999866485596,89.37999725341797,81.45999908447266,46.40999984741211,159.52999877929688,308.9200134277344,59.13999938964844,170.9600067138672,10.109999656677246,175.42999267578125,75.36000061035156,217.19000244140625,82.9000015258789,168.05999755859375,21.149999618530273,16.290000915527344,38.54999923706055,38.310001373291016,136.27000427246094,133.36000061035156,167.4600067138672,145.77999877929688,117.22000122070312,57.869998931884766
2020-02-24,21.3799991607666,149.17999267578125,63.880001068115234,47.290000915527344,142.63999938964844,160.49000549316406,92.7699966430664,96.37000274658203,112.30999755859375,86.43000030517578,250.52999877929688,1056.6400146484375,44.599998474121094,49.68000030517578,75.06999969482422,48.02000045776367,98.93000030517578,72.97000122070312,288.1600036621094,37.2599983215332,202.52000427246094,7.570000171661377,89.80000305175781,80.97000122070312,45.25,155.6999969482422,298.4200134277344,58.84000015258789,165.55999755859375,9.460000038146973,164.47000122070312,72.7300033569336,200.36000061035156,78.0999984741211,166.36000061035156,20.309999465942383,15.970000267028809,38.04999923706055,35.88999938964844,131.75,130.25999450683594,162.77999877929688,144.35000610351562,113.83000183105469,54.22999954223633
2020-02-25,20.420000076293945,141.10000610351562,61.630001068115234,44.970001220703125,141.10000610351562,157.2100067138672,88.94000244140625,94.58000183105469,108.91000366210938,84.33000183105469,245.42999267578125,1032.68994140625,43.16999816894531,48.029998779296875,73.61000061035156,47.880001068115234,97.05000305175781,72.33999633789062,279.8800048828125,36.459999084472656,194.77999877929688,7.230000019073486,87.79000091552734,80.0,43.349998474121094,152.19000244140625,288.3800048828125,58.0099983215332,160.85000610351562,8.920000076293945,156.22999572753906,69.98999786376953,191.75999450683594,74.44000244140625,163.02000427246094,19.899999618530273,15.390000343322754,37.349998474121094,35.209999084472656,126.54000091552734,126.79000091552734,161.00999450683594,136.75,109.1500015258789,50.88999938964844
